profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,pairing,pair_energy_basis,ncu_control_acceptance_required,ncu_control_acceptance_exact,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,pair_start_distance_ms,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_ITER,control_ITER,iter_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_measurement_scope,control_measurement_scope,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,numerator_power_state_status,control_power_state_status,numerator_power_state_reasons,control_power_state_reasons,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,2048,16,82,4,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930983588_r0,reg_operand_only_1783930687256_r0,296332,296332,20.759844421,3.015347165,6.884727789212954,35531838,35531838,1.0,4130.02421384,667.982790496,221.5276563340593,667.982790496,3462.0414233439997,0.8382617738032763,FLOP,1527571135070208.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.266370019609517,pJ/FLOP,,False,pair_start_distance_ms>60000,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929179907_r0,reg_operand_only_1783929139177_r0,40730,40730,20.478091032,2.725579661,7.51329756565864,17917848,17917848,1.0,4015.66977242,604.266891214,221.70215747511776,604.266891214,3411.4028812059996,0.8495227632102215,FLOP,1540634481524736.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.214284388747291,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929435072_r0,reg_operand_only_1783929394266_r0,40806,40806,20.54754618,2.867245281,7.16630220517224,17917848,17917848,1.0,4057.52000509,604.712057075,210.90349719368845,604.712057075,3452.807948015,0.8509651076725654,FLOP,1540634481524736.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2411597231017595,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929693203_r0,reg_operand_only_1783929652425_r0,40778,40778,20.510937183,2.747099082,7.466398761295206,17917848,17917848,1.0,4118.58987115,608.029869573,221.33525272424083,608.029869573,3510.5600015770005,0.8523694058900736,FLOP,1540634481524736.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2786456123600893,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929951347_r0,reg_operand_only_1783929910539_r0,40808,40808,20.553666557,2.794681067,7.354566071850087,17917848,17917848,1.0,4076.88012079,606.598666756,217.05470220512998,606.598666756,3470.281454034,0.8512100800652299,FLOP,1540634481524736.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.252501482765419,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930532392_r0,reg_operand_only_1783930491537_r0,40855,40855,20.555062638,2.859471759,7.188412535743459,17917848,17917848,1.0,4112.95227752,605.496005919,211.75100051722526,605.496005919,3507.4562716010005,0.8527831190192905,FLOP,1540634481524736.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2766310332933344,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783930792084_r0,reg_operand_only_1783930751104_r0,40980,40980,20.700817099,2.727064659,7.590878724009016,17917848,17917848,1.0,4058.93130932,600.739070092,220.28779849770333,600.739070092,3458.192239228,0.8519957534850121,FLOP,1540634481524736.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2446545762142716,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783931047385_r0,reg_operand_only_1783931006608_r0,40777,40777,20.532927943,2.772267108,7.406547472913999,17917848,17917848,1.0,4099.91141917,607.213519704,219.03139057262877,607.213519704,3492.6978994660003,0.8518959417355104,FLOP,1540634481524736.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2670516214912606,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929242948_r0,reg_operand_only_1783929202679_r0,40269,40269,19.984086875,2.502300275,7.986286487939581,8728935,8728935,1.0,3944.60044087,520.556516324,208.03119494681746,520.556516324,3424.043924546,0.868033144515598,FLOP,1501084086435840.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2810473813469154,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,matched_iters_net_energy,True,True,reg_mma,reg_operand_only,reg_mma_1783929498066_r0,reg_operand_only_1783929457803_r0,40263,40263,19.990062871,2.465071848,8.1093226094885,8728935,8728935,1.0,3887.97764956,524.566885836,212.79983634618992,524.566885836,3363.410763724,0.8650797578799444,FLOP,1501084086435840.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2406544670725617,pJ/FLOP,,True,,results/raw/rtx3090_tensor_fixedrf_v2_20260713.csv
