mode,W_SM_KiB,blocks_per_SM,active_SM,load_repeat,component,accepted,reason,net_E_J,elapsed_s,ncu_l1_hit_rate_pct,ncu_l2_hit_rate_pct,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,expected_shared_bytes,ncu_shared_accesses,ncu_stall_long_scoreboard_pct,ncu_stall_short_scoreboard_pct,ncu_stall_wait_pct
shared_load_only,16,16,82,8,reject,false,mode_or_w_not_selected,247.088942541,1.279719439,26.8619,54.425,0,3830270000,2830640000,5373952000000,87373500000,0.000891,89.7858,194.186
l2_load_only,16,16,82,8,reject,false,mode_or_w_not_selected,231.840833474,1.319651965,99.999,54.3239,1.07479e+13,3390710000,2588730000,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,16,reject,false,missing_ncu_join,34.2475082801,0.187137039,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,16,global_l1_path,true,accepted,507.015004224,2.691256177,99.9989,46.0291,2.14958e+13,10575450000,8611200000,0,,19.2038,56.5945,212.32
shared_load_only,16,16,82,16,reject,false,mode_or_w_not_selected,486.469697124,2.463231239,26.8619,54.425,0,7660540000,5661280000,10747904000000,174747000000,0.000891,89.7858,194.186
l2_load_only,16,16,82,16,reject,false,mode_or_w_not_selected,502.773752414,2.491746045,99.999,54.3239,2.14958e+13,6781420000,5177460000,0,,16.7124,50.6185,190.272
clocked_empty,64,16,82,1,reject,false,elapsed_too_short,-5.3383536495,0.036507475,21.0175,37.9636,0,136832000,111584000,0,,0.002508,0.000589,378.947
global_l1_load_only,64,16,82,1,reject,false,mode_or_w_not_selected,36.004293888,0.243360537,88.1275,99.7473,1.3434875e+12,160082500000,511918750,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,1,shared_l1_path,true,accepted_expected_byte_denominator,23.4180176887,0.178784806,26.8184,50.4958,0,833995000,689695000,671744000000,10897900000,0.001895,88.7969,180.406
l2_load_only,64,16,82,1,l2_hit_path,true,accepted,46.7374077794,0.223978808,87.5108,99.3572,1.34349e+12,169409000000,1536235000,0,,62.1666,43.157,240.72
clocked_empty,64,16,82,2,reject,false,elapsed_too_short,5.38878668967,0.056817,21.17,40.0279,0,145867000,113700500,0,,0.001702,0.000408,337.037
global_l1_load_only,64,16,82,2,reject,false,mode_or_w_not_selected,57.0696671793,0.421178099,88.1275,99.7473,2.686975e+12,320165000000,1023837500,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,2,shared_l1_path,true,accepted_expected_byte_denominator,47.9494872466,0.330060403,27.2387,43.3933,0,1405950000,1144530000,1343488000000,21835800000,0.001059,98.7711,176.027
l2_load_only,64,16,82,2,l2_hit_path,true,accepted,70.7838596859,0.418195106,87.719,99.6563,2.686975e+12,331337500000,1254020000,0,,68.2438,47.6743,221.057
clocked_empty,64,16,82,4,reject,false,elapsed_too_short,-9.62878697593,0.067390501,21.2271,73.2344,0,132485500,93513500,0,,0.001328,0.000312,245.714
global_l1_load_only,64,16,82,4,reject,false,mode_or_w_not_selected,151.462829463,0.834975311,88.1275,99.7473,5.37395e+12,640330000000,2047675000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,4,shared_l1_path,true,accepted_expected_byte_denominator,112.377314562,0.649695215,27.169,49.5815,0,2461965000,1909370000,2686976000000,43688400000,0.000738,89.7834,194.146
l2_load_only,64,16,82,4,l2_hit_path,true,accepted,148.661790836,0.798246727,88.3843,99.8014,5.37395e+12,626300000000,1841630000,0,,70.6588,50.4984,188.868
clocked_empty,64,16,82,8,reject,false,elapsed_too_short,0.358224025219,0.106322104,21.2652,71.8104,0,315727500,237104000,0,,0.00168,0.000197,205.556
global_l1_load_only,64,16,82,8,reject,false,mode_or_w_not_selected,311.361907361,1.612374199,88.1275,99.7473,1.07479e+13,1.28066e+12,4095350000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,8,shared_l1_path,true,accepted_expected_byte_denominator,243.92983578,1.266441996,27.5871,80.5235,0,9743450000,7479700000,5373952000000,87484000000,0.000434,93.4117,193.888
