profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,numerator_mode,control_mode,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,denominator_column,denominator,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,16,16,82,1,16,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,shared_scalar_load_only,clocked_empty,3.367014996,3.309748625,1.0173023324392196,685.842549407,671.635600417,202.92646859759628,683.2564628534298,2.586086553570226,expected_shared_bytes,21546667081728.0,0.12002257907271786,pJ/byte,0.015002822384089733,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,64,16,82,1,1,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,shared_scalar_load_only,clocked_empty,3.304815328,3.29036402,1.0043920088817406,676.516474466,564.584606519,171.58727821215354,567.0642671253255,109.45220734067448,expected_shared_bytes,17472018448384.0,6.264428329446837,pJ/byte,0.7830535411808546,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,64,16,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,shared_scalar_load_only,clocked_empty,3.274302379,3.29241795,1.0055326505933557,657.766693973,636.777898659,193.4073706101013,633.2742137047894,24.492480268210556,expected_shared_bytes,19899690516480.0,1.230797044201618,pJ/byte,0.15384963052520226,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,64,16,82,1,16,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,shared_scalar_load_only,clocked_empty,3.510382811,3.436809133,1.0214075542611751,736.236047945,691.51007311,201.2070052043824,706.3136125222514,29.92243542274855,expected_shared_bytes,22400803012608.0,1.3357751240393971,pJ/byte,0.16697189050492464,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,2048,16,82,1,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,reg_mma,reg_operand_only,3.331594029,3.290336294,1.0125390632791045,451.872425723,405.569425072,123.26078213086143,410.65488575704785,41.21753996595214,FLOP,235510651944960.0,0.17501348506132489,pJ/FLOP,,True,,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,2,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,reg_mma,reg_operand_only,3.341000304,3.273596352,1.020590184235396,307.512987678,260.802604545,79.66852858498054,266.17257822165266,41.340409456347345,FLOP,165013666398208.0,0.250527185770089,pJ/FLOP,,True,,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,4,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,reg_mma,reg_operand_only,3.265214653,3.135722154,1.0412959097268284,370.358283982,289.763415589,92.40723551331581,301.7294594413008,68.62882454069921,FLOP,253190696075264.0,0.271055870553389,pJ/FLOP,,True,,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,reg_mma,reg_operand_only,3.207702967,3.281646606,1.0230518971864642,301.311469444,278.825442534,84.96510319673342,272.542813615623,28.768655828377007,FLOP,247775128190976.0,0.11610792430385983,pJ/FLOP,,True,,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,reg_mma,reg_operand_only,3.338167271,3.339340372,1.000351420676307,272.779888097,286.899964345,85.91516059597413,286.7991771841897,-14.01928908718969,FLOP,261494612688896.0,-0.053612152629196407,pJ/FLOP,,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,32,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,reg_mma,reg_operand_only,3.229610589,3.25087614,1.0065845557580317,284.755045099,262.946671987,80.8848632378224,261.22661080268807,23.5284342963119,FLOP,256229687427072.0,0.09182555906215416,pJ/FLOP,,True,,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,64,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,reg_mma,reg_operand_only,3.285350248,3.292755436,1.0022540025997253,268.179557461,259.724825501,78.87765445966755,259.14072164072707,9.038835820272936,FLOP,259299288809472.0,0.03485869884862852,pJ/FLOP,,True,,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,1,1,1,tensor_register_path,reg_mma_minus_clocked_empty,reg_mma,clocked_empty,3.331594029,3.189970573,1.0443964772586634,451.872425723,608.113931656,190.63308508332122,635.1120479934419,-183.23962227044194,FLOP,235510651944960.0,-0.7780523757934564,pJ/FLOP,,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,2,1,1,tensor_register_path,reg_mma_minus_clocked_empty,reg_mma,clocked_empty,3.341000304,3.232541089,1.0335523082348668,307.512987678,609.587207365,188.578332210335,630.0402652425422,-322.5272775645422,FLOP,165013666398208.0,-1.9545488843707357,pJ/FLOP,,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,4,1,1,tensor_register_path,reg_mma_minus_clocked_empty,reg_mma,clocked_empty,3.265214653,3.219645206,1.014153561676634,370.358283982,587.907086682,182.5999602646901,596.228065893484,-225.86978191148398,FLOP,253190696075264.0,-0.8920935303418157,pJ/FLOP,,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_register_path,reg_mma_minus_clocked_empty,reg_mma,clocked_empty,3.207702967,3.251698619,1.0137156253096424,301.311469444,597.897551369,183.87237607920514,589.8079662986062,-288.49649685460616,FLOP,247775128190976.0,-1.1643480883692396,pJ/FLOP,,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_register_path,reg_mma_minus_clocked_empty,reg_mma,clocked_empty,3.338167271,3.187461974,1.0472806572217321,272.779888097,607.75783156,190.67139828410703,636.4930212678116,-363.7131331708116,FLOP,261494612688896.0,-1.3909010569312437,pJ/FLOP,,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,32,1,1,tensor_register_path,reg_mma_minus_clocked_empty,reg_mma,clocked_empty,3.229610589,3.294515554,1.0200968392973027,284.755045099,581.619291998,176.54167432654347,570.1608608047942,-285.4058157057942,FLOP,256229687427072.0,-1.1138670876575392,pJ/FLOP,,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
rtx3090,0,1,2048,16,82,64,1,1,tensor_register_path,reg_mma_minus_clocked_empty,reg_mma,clocked_empty,3.285350248,3.254077394,1.0096103596237944,268.179557461,609.400639092,187.27293954828414,615.2571983886443,-347.07764092764427,FLOP,259299288809472.0,-1.3385213762875765,pJ/FLOP,,False,negative_coefficient,results/raw/rtx3090_tensor_register_b16_duration_20260705.csv
