mode,regime,W_SM_KiB,blocks_per_SM,active_SM,ITER,elapsed_s,net_E_J,pJ_per_FLOP,pJ_per_input_bit,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C
empty,dram_mixed_streaming,256,2,82,1004809886,1.173842389,50.4327670295,0,0,true,1950,9501,61
empty,dram_mixed_streaming,256,4,82,979635180,1.126314322,52.1881478854,0,0,true,1950,9501,63
empty,dram_mixed_streaming,256,8,82,913787624,1.084450528,122.19913077,0,0,true,1935,9501,66
empty,dram_mixed_streaming,256,16,82,665779455,1.066572507,145.064103916,0,0,true,1935,9501,70
empty,dram_mixed_streaming,512,1,82,965451526,1.12945791,11.6313854642,0,0,true,1950,9501,61
empty,dram_mixed_streaming,512,2,82,963339666,1.093462693,42.061330662,0,0,true,1950,9501,61
empty,dram_mixed_streaming,512,4,82,1008137004,1.139867203,82.7810257384,0,0,true,1950,9501,64
empty,dram_mixed_streaming,512,8,82,911787985,1.101863861,125.764193478,0,0,true,1935,9501,67
empty,dram_mixed_streaming,512,16,82,673713752,1.1014443,156.510920908,0,0,true,1935,9501,70
empty,dram_mixed_streaming,1024,1,82,958353179,1.146997955,25.7300340399,0,0,true,1950,9501,62
empty,dram_mixed_streaming,1024,2,82,957657948,1.087235258,43.8295278184,0,0,true,1950,9501,62
empty,dram_mixed_streaming,1024,4,82,965351912,1.100971712,66.376967634,0,0,true,1950,9501,64
empty,dram_mixed_streaming,1024,8,82,816877813,0.987476363,105.673582922,0,0,true,1935,9501,68
empty,dram_mixed_streaming,1024,16,82,665310423,1.0870269,155.419284902,0,0,true,1935,9501,70
empty,dram_mixed_streaming,2048,1,82,964523974,1.096011414,33.2854343503,0,0,true,1935,9501,62
empty,dram_mixed_streaming,2048,2,82,963265960,1.098924258,46.0497323905,0,0,true,1935,9501,63
empty,dram_mixed_streaming,2048,4,82,977768335,1.11088637,70.8464682195,0,0,true,1935,9501,65
empty,dram_mixed_streaming,2048,8,82,815450865,0.985764477,96.3272958084,0,0,true,1935,9501,68
empty,dram_mixed_streaming,2048,16,82,654810878,1.078492651,170.185293694,0,0,true,1935,9501,70
empty,dram_mixed_streaming,4096,1,82,963428704,1.095827734,33.2205356612,0,0,true,1935,9501,63
empty,dram_mixed_streaming,4096,2,82,981526578,1.108433079,42.9278799957,0,0,true,1935,9501,63
empty,dram_mixed_streaming,4096,4,82,957037335,1.085766116,73.3529379273,0,0,true,1935,9501,65
empty,dram_mixed_streaming,4096,8,82,901267750,1.105020306,135.227552566,0,0,true,1935,9501,68
empty,dram_mixed_streaming,4096,16,82,669617080,1.155186086,179.119496396,0,0,true,1935,9501,72
empty,dram_mixed_streaming,8192,1,82,942942026,1.069633615,35.5925128389,0,0,true,1935,9501,63
empty,dram_mixed_streaming,8192,2,82,962868739,1.0067156,46.3313372699,0,0,true,1935,9501,64
empty,dram_mixed_streaming,8192,4,82,998765351,1.139323987,70.7553083123,0,0,true,1935,9501,66
empty,dram_mixed_streaming,8192,8,82,905794352,1.09442767,101.832553915,0,0,true,1935,9501,69
empty,dram_mixed_streaming,8192,16,82,655749962,1.024476919,182.491656249,0,0,true,1920,9501,73
empty,dram_mixed_streaming,16384,1,82,960272691,1.086530365,32.7298941609,0,0,true,1935,9501,64
empty,dram_mixed_streaming,16384,2,82,962299526,1.089846047,44.4719054973,0,0,true,1935,9501,64
empty,dram_mixed_streaming,16384,4,82,986110805,1.108871375,88.7421769386,0,0,true,1935,9501,66
empty,dram_mixed_streaming,16384,8,82,962529004,1.15276609,142.339917628,0,0,true,1920,9501,69
empty,dram_mixed_streaming,16384,16,82,675142314,1.155235504,158.111030131,0,0,true,1920,9501,72
empty,dram_mixed_streaming,32768,1,82,961196804,1.08188573,30.8045284382,0,0,true,1935,9501,64
empty,dram_mixed_streaming,32768,2,82,970041951,1.093147511,33.7289785131,0,0,true,1935,9501,64
empty,dram_mixed_streaming,32768,4,82,951883226,1.076798272,60.8959831162,0,0,true,1935,9501,66
empty,dram_mixed_streaming,32768,8,82,933130535,1.116739727,130.686506376,0,0,true,1920,9501,70
empty,dram_mixed_streaming,32768,16,82,654948550,1.131102289,178.403429713,0,0,true,1920,9501,73
empty,dram_mixed_streaming,65536,1,82,959983252,1.084805622,29.0703026184,0,0,true,1935,9501,64
empty,dram_mixed_streaming,65536,2,82,974532812,1.099939118,58.9330907739,0,0,true,1935,9501,65
empty,dram_mixed_streaming,65536,4,82,971246962,1.097833762,80.2021108613,0,0,true,1935,9501,66
empty,dram_mixed_streaming,65536,8,82,902378649,1.082607257,131.210419329,0,0,true,1920,9501,70
empty,dram_mixed_streaming,65536,16,82,660611227,1.082495364,161.061083285,0,0,true,1920,9501,73
empty,dram_mixed_streaming,131072,1,82,983065862,1.114201101,30.1284796605,0,0,true,1935,9501,64
empty,dram_mixed_streaming,131072,2,82,989820649,1.130482141,37.7631626286,0,0,true,1935,9501,65
empty,dram_mixed_streaming,131072,4,82,979576113,1.159878277,87.7982602866,0,0,true,1935,9501,67
empty,dram_mixed_streaming,131072,8,82,919545840,1.160844279,134.588444384,0,0,true,1920,9501,70
empty,dram_mixed_streaming,131072,16,82,653707165,1.071123243,169.086849679,0,0,true,1905,9501,74
reg_mma,shared_resident,1,1,82,31063878,1.096789248,26.5719811615,1.27339889293,1.27339889293,true,1920,9501,64
reg_mma,shared_resident,2,1,82,31015040,1.125033053,37.5637388877,1.80298731569,1.80298731569,true,1935,9501,64
reg_mma,shared_resident,2,2,82,30646802,1.073834909,39.9131415596,0.969386479748,0.969386479748,true,1935,9501,65
reg_mma,shared_resident,4,1,82,31598347,1.095222068,42.8165271338,2.01717361346,2.01717361346,true,1935,9501,64
reg_mma,shared_resident,4,2,82,31653297,1.095541887,41.219163295,0.969273696752,0.969273696752,true,1935,9501,64
reg_mma,shared_resident,4,4,82,31470484,1.093354223,82.919988078,0.980600299251,0.980600299251,true,1935,9501,66
reg_mma,shared_resident,8,1,82,31820890,1.165932226,36.5549411889,1.71013332956,1.71013332956,true,1935,9501,64
reg_mma,shared_resident,8,2,82,30746306,1.141290793,46.0718614302,1.11534448062,1.11534448062,true,1935,9501,64
reg_mma,shared_resident,8,4,82,29410801,1.037762033,56.0635040011,0.709430078755,0.709430078755,true,1935,9501,66
reg_mma,shared_resident,8,8,82,15707953,1.101862826,82.2966338021,0.974919361487,0.974919361487,true,1935,9501,66
reg_mma,shared_resident,16,1,82,31188446,1.112305982,27.2380061012,1.30010306078,1.30010306078,true,1935,9501,63
reg_mma,shared_resident,16,2,82,32155344,1.137413133,50.7886838221,1.17565530147,1.17565530147,true,1935,9501,64
reg_mma,shared_resident,16,4,82,31373049,1.10443624,65.1984412627,0.773422314066,0.773422314066,true,1935,9501,66
reg_mma,shared_resident,16,8,82,15513248,1.09320273,65.4842339596,0.785489227131,0.785489227131,true,1935,9501,66
reg_mma,shared_resident,16,16,82,7705295,1.087316139,52.3312814516,0.63189994913,0.63189994913,true,1935,9501,66
reg_mma,shared_resident,32,1,82,31116726,1.189403353,18.8986878941,0.90413641481,0.90413641481,true,1935,9501,64
reg_mma,shared_resident,32,2,82,30155199,1.132405172,55.7850288521,1.37696110063,1.37696110063,true,1935,9501,64
reg_mma,shared_resident,32,4,82,29650117,1.048101236,56.793265852,0.712863936329,0.712863936329,true,1935,9501,66
reg_mma,shared_resident,32,8,82,15565256,1.121625769,57.8146310909,0.691174501428,0.691174501428,true,1935,9501,66
reg_mma,shared_resident,32,16,82,7643410,1.140859775,96.7162496312,1.17730371018,1.17730371018,true,1935,9501,66
reg_mma,shared_resident,64,1,82,30848082,1.083099958,30.4340586229,1.4686824664,1.4686824664,true,1935,9501,64
reg_mma,shared_resident,64,2,82,31035774,1.089089864,39.0706537511,0.937031748167,0.937031748167,true,1935,9501,64
reg_mma,shared_resident,64,4,82,31178384,1.088121973,65.2150465357,0.778449456137,0.778449456137,true,1935,9501,66
reg_mma,shared_resident,64,8,82,15660198,1.103392313,82.3338111414,0.978334090806,0.978334090806,true,1935,9501,66
reg_mma,shared_resident,64,16,82,7664295,1.140554158,59.8202060643,0.726192758037,0.726192758037,true,1935,9501,66
reg_mma,dram_mixed_streaming,128,1,82,30928443,1.106347637,28.1386062583,1.35438061494,1.35438061494,true,1935,9501,64
reg_mma,dram_mixed_streaming,128,2,82,31643418,1.113997739,35.3601561435,0.83175801449,0.83175801449,true,1935,9501,64
reg_mma,dram_mixed_streaming,128,4,82,30979605,1.099731641,52.6125646944,0.632047633187,0.632047633187,true,1935,9501,66
reg_mma,dram_mixed_streaming,128,8,82,15207690,1.102330348,68.6184088688,0.839621612754,0.839621612754,true,1935,9501,66
reg_mma,dram_mixed_streaming,128,16,82,7904563,1.118855349,61.7217848584,0.726502030718,0.726502030718,true,1935,9501,66
reg_mma,dram_mixed_streaming,256,1,82,31698679,1.092518924,29.9494539899,1.4065136432,1.4065136432,true,1935,9501,64
reg_mma,dram_mixed_streaming,256,2,82,31354864,1.095089099,42.7517848476,1.01488197164,1.01488197164,true,1935,9501,64
reg_mma,dram_mixed_streaming,256,4,82,31027120,1.084534959,68.2589011322,0.818755140675,0.818755140675,true,1935,9501,66
reg_mma,dram_mixed_streaming,256,8,82,15624602,1.155248564,75.4507714614,0.898588669403,0.898588669403,true,1935,9501,66
reg_mma,dram_mixed_streaming,256,16,82,7767624,1.112624513,81.0081878268,0.970324379935,0.970324379935,true,1935,9501,67
reg_mma,dram_mixed_streaming,512,1,82,30798980,1.097788418,28.315644871,1.36863085616,1.36863085616,true,1935,9501,64
reg_mma,dram_mixed_streaming,512,2,82,31465438,1.120813565,33.2270391591,0.786002758282,0.786002758282,true,1935,9501,65
reg_mma,dram_mixed_streaming,512,4,82,30925640,1.114373833,65.7746759006,0.791546136444,0.791546136444,true,1935,9501,66
reg_mma,dram_mixed_streaming,512,8,82,15365362,1.111126437,63.3658721977,0.767394774535,0.767394774535,true,1935,9501,67
reg_mma,dram_mixed_streaming,512,16,82,6824592,0.983905262,56.5155090478,0.770490294261,0.770490294261,true,1935,9501,67
reg_mma,dram_mixed_streaming,1024,1,82,30510734,1.084187401,28.5438380783,1.39269468254,1.39269468254,true,1935,9501,64
reg_mma,dram_mixed_streaming,1024,2,82,31803527,1.136369523,34.3526810865,0.803991690469,0.803991690469,true,1935,9501,65
reg_mma,dram_mixed_streaming,1024,4,82,30185551,1.081714707,70.7062216288,0.871755578331,0.871755578331,true,1935,9501,66
reg_mma,dram_mixed_streaming,1024,8,82,15210815,1.104352158,67.0355749247,0.820085382814,0.820085382814,true,1935,9501,66
reg_mma,dram_mixed_streaming,1024,16,82,7488563,1.047408013,69.5458994821,0.864070666714,0.864070666714,true,1935,9501,67
reg_mma,dram_mixed_streaming,2048,1,82,31243959,1.09794992,26.3406704963,1.25503827403,1.25503827403,true,1935,9501,64
reg_mma,dram_mixed_streaming,2048,2,82,30918990,1.084889377,37.4442884738,0.901418551869,0.901418551869,true,1935,9501,65
reg_mma,dram_mixed_streaming,2048,4,82,31230842,1.164066249,38.9288840185,0.463900107712,0.463900107712,true,1935,9501,66
reg_mma,dram_mixed_streaming,2048,8,82,15218046,1.151632379,59.7078390897,0.730093829942,0.730093829942,true,1935,9501,67
reg_mma,dram_mixed_streaming,2048,16,82,7498018,1.061228078,70.4629562604,0.874360646729,0.874360646729,true,1935,9501,67
reg_mma,dram_mixed_streaming,4096,1,82,31173126,1.094602158,25.4238938976,1.21410966529,1.21410966529,true,1935,9501,64
reg_mma,dram_mixed_streaming,4096,2,82,30998904,1.120236507,50.1374724607,1.20387752183,1.20387752183,true,1935,9501,65
reg_mma,dram_mixed_streaming,4096,4,82,29968834,1.064636392,52.8401522392,0.656191237519,0.656191237519,true,1935,9501,67
reg_mma,dram_mixed_streaming,4096,8,82,15318597,1.079092929,73.3553744911,0.891085064743,0.891085064743,true,1935,9501,67
reg_mma,dram_mixed_streaming,4096,16,82,7711336,1.09445504,72.2643724267,0.871908336488,0.871908336488,true,1935,9501,67
reg_mma,dram_mixed_streaming,8192,1,82,28864248,1.028303536,35.5632976552,1.83416322415,1.83416322415,true,1935,9501,64
reg_mma,dram_mixed_streaming,8192,2,82,30885810,1.07546414,43.121619463,1.0392075076,1.0392075076,true,1935,9501,65
reg_mma,dram_mixed_streaming,8192,4,82,31309662,1.13368919,78.5913740028,0.934184624231,0.934184624231,true,1935,9501,67
reg_mma,dram_mixed_streaming,8192,8,82,15597610,1.092513753,83.9939997996,1.00206622139,1.00206622139,true,1935,9501,67
reg_mma,dram_mixed_streaming,8192,16,82,8000869,1.126887347,67.9031506611,0.789639722806,0.789639722806,true,1935,9501,67
reg_mma,dram_mixed_streaming,16384,1,82,31139028,1.124713552,37.2495288583,1.78078683367,1.78078683367,true,1935,9501,64
reg_mma,dram_mixed_streaming,16384,2,82,31064480,1.110459083,34.7677284595,0.833064134148,0.833064134148,true,1935,9501,65
reg_mma,dram_mixed_streaming,16384,4,82,30622887,1.149541548,72.0957100829,0.876192445711,0.876192445711,true,1935,9501,67
reg_mma,dram_mixed_streaming,16384,8,82,15200190,1.066937256,71.848050347,0.879573604814,0.879573604814,true,1935,9501,67
reg_mma,dram_mixed_streaming,16384,16,82,7692447,1.124259898,64.9665864432,0.785781422084,0.785781422084,true,1935,9501,67
reg_mma,dram_mixed_streaming,32768,1,82,30425508,1.117743433,21.7524424157,1.06430571321,1.06430571321,true,1935,9501,65
reg_mma,dram_mixed_streaming,32768,2,82,30684225,1.080434365,43.6927915777,1.0598901175,1.0598901175,true,1935,9501,65
reg_mma,dram_mixed_streaming,32768,4,82,31003015,1.099714734,66.4518134565,0.797699132002,0.797699132002,true,1935,9501,67
reg_mma,dram_mixed_streaming,32768,8,82,15331495,1.097355178,61.2217569511,0.743066188462,0.743066188462,true,1935,9501,67
reg_mma,dram_mixed_streaming,32768,16,82,7632883,1.0766564,63.1574963645,0.769861358448,0.769861358448,true,1935,9501,67
reg_mma,dram_mixed_streaming,65536,1,82,31930884,1.106855805,28.7218803733,1.33905412274,1.33905412274,true,1935,9501,65
reg_mma,dram_mixed_streaming,65536,2,82,30880530,1.150599901,33.5219869385,0.807999729453,0.807999729453,true,1935,9501,65
reg_mma,dram_mixed_streaming,65536,4,82,30645335,1.08826905,66.1362336362,0.803177064501,0.803177064501,true,1935,9501,67
reg_mma,dram_mixed_streaming,65536,8,82,15455978,1.092119841,63.5975934176,0.765685473901,0.765685473901,true,1935,9501,67
reg_mma,dram_mixed_streaming,65536,16,82,7979067,1.163978612,62.6191154541,0.730181857526,0.730181857526,true,1935,9501,67
reg_mma,dram_mixed_streaming,131072,1,82,30039939,1.061288011,31.093342325,1.54086491251,1.54086491251,true,1935,9501,65
reg_mma,dram_mixed_streaming,131072,2,82,31001688,1.147241227,46.203034414,1.10930601062,1.10930601062,true,1935,9501,66
reg_mma,dram_mixed_streaming,131072,4,82,30177638,1.099858823,64.8479344379,0.799736864054,0.799736864054,true,1935,9501,67
reg_mma,dram_mixed_streaming,131072,8,82,15099066,1.068039479,72.9014819094,0.898447056261,0.898447056261,true,1935,9501,67
reg_mma,dram_mixed_streaming,131072,16,82,7942326,1.174538448,74.5600191697,0.873442908691,0.873442908691,true,1935,9501,67
shared_mma,shared_resident,1,1,82,6736479,1.126042211,46.4547992684,10.2658244068,10.2658244068,true,1935,9501,65
shared_mma,shared_resident,2,1,82,6727907,1.130065543,27.895513443,6.17235055842,6.17235055842,true,1935,9501,65
shared_mma,shared_resident,2,2,82,6487379,1.057639121,40.7439218889,4.67476483245,4.67476483245,true,1935,9501,67
shared_mma,shared_resident,4,1,82,6477274,1.053146173,23.902397527,5.49345283446,5.49345283446,true,1935,9501,65
shared_mma,shared_resident,4,2,82,6482547,1.079251601,56.1925053417,6.45206790766,6.45206790766,true,1935,9501,67
shared_mma,shared_resident,4,4,82,6713327,1.168122394,103.636216331,5.74526360384,5.74526360384,true,1935,9501,69
shared_mma,shared_resident,8,1,82,6548117,1.078325675,1.91139263957,0.434539922537,0.434539922537,true,1935,9501,66
shared_mma,shared_resident,8,2,82,6830000,1.150392171,48.6100724693,5.29750985338,5.29750985338,true,1935,9501,67
shared_mma,shared_resident,8,4,82,6485607,1.076716355,85.0116476075,4.8782495955,4.8782495955,true,1935,9501,69
shared_mma,shared_resident,8,8,82,6080187,1.136207756,137.54557226,4.20955215887,4.20955215887,true,1920,9501,74
shared_mma,shared_resident,16,1,82,6635001,1.124259508,29.1278787721,6.5352780493,6.5352780493,true,1920,9501,66
shared_mma,shared_resident,16,2,82,6451366,1.068105389,55.3269783325,6.38339147461,6.38339147461,true,1920,9501,67
shared_mma,shared_resident,16,4,82,6610667,1.102664503,84.768500746,4.7722746933,4.7722746933,true,1920,9501,69
shared_mma,shared_resident,16,8,82,6039294,1.10553349,138.421723792,4.26505168264,4.26505168264,true,1920,9501,73
shared_mma,shared_resident,16,16,82,4637256,1.097091304,170.125682132,3.41338306187,3.41338306187,true,1905,9501,76
shared_mma,shared_resident,32,1,82,6684561,1.159338697,29.8501269895,6.64767067263,6.64767067263,true,1920,9501,67
shared_mma,shared_resident,32,2,82,6727638,1.092353058,66.479802682,7.35518016323,7.35518016323,true,1920,9501,67
shared_mma,shared_resident,32,4,82,6711160,1.119686282,91.7277782422,5.08673946436,5.08673946436,true,1920,9501,70
shared_mma,shared_resident,32,8,82,6176786,1.099884655,138.648968897,4.17695990126,4.17695990126,true,1920,9501,74
shared_mma,shared_resident,32,16,82,4710432,1.098930584,188.272800682,3.71880208446,3.71880208446,true,1905,9501,76
shared_mma,shared_resident,64,1,82,6624713,1.097452366,36.4425798193,8.18913912573,8.18913912573,true,1920,9501,67
shared_mma,shared_resident,64,2,82,6692980,1.114369833,47.6408408839,5.29817256513,5.29817256513,true,1920,9501,67
shared_mma,shared_resident,64,4,82,6701830,1.13436938,89.1808485138,4.95238506893,4.95238506893,true,1920,9501,70
shared_mma,shared_resident,64,8,82,5935407,1.068005248,145.000977064,4.54597079263,4.54597079263,true,1920,9501,73
shared_mma,shared_resident,64,16,82,4789368,1.193500731,224.533283116,4.36193048264,4.36193048264,true,1905,9501,77
l2_mma,shared_resident,1,1,82,6499692,1.06862181,36.9412306376,8.46086539527,8.46086539527,true,1920,9501,67
l2_mma,shared_resident,2,1,82,6642405,1.100072002,31.9520824251,7.16093975486,7.16093975486,true,1920,9501,66
l2_mma,shared_resident,2,2,82,6527898,1.081029424,46.4330433782,5.29443960061,5.29443960061,true,1920,9501,68
l2_mma,shared_resident,4,1,82,6698132,1.107939452,35.9639084037,7.99299212255,7.99299212255,true,1920,9501,66
l2_mma,shared_resident,4,2,82,6742246,1.09729279,76.8387967988,8.48285746517,8.48285746517,true,1920,9501,67
l2_mma,shared_resident,4,4,82,6626493,1.086072777,100.79379948,5.66091046022,5.66091046022,true,1920,9501,70
l2_mma,shared_resident,8,1,82,6652047,1.152658056,9.73142691997,2.17779712678,2.17779712678,true,1920,9501,66
l2_mma,shared_resident,8,2,82,6346105,1.047788174,67.1635070522,7.87757089417,7.87757089417,true,1920,9501,67
l2_mma,shared_resident,8,4,82,6562591,1.093149609,100.05096393,5.67390619192,5.67390619192,true,1920,9501,70
l2_mma,shared_resident,8,8,82,6099836,1.108800889,164.393143271,5.0150094729,5.0150094729,true,1920,9501,76
l2_mma,shared_resident,16,1,82,6587668,1.088605164,39.250553058,8.86972756647,8.86972756647,true,1920,9501,66
l2_mma,shared_resident,16,2,82,6199691,1.040023968,46.0819615353,5.5325725943,5.5325725943,true,1920,9501,67
l2_mma,shared_resident,16,4,82,6703560,1.138208198,97.8152651249,5.43046911671,5.43046911671,true,1920,9501,70
l2_mma,shared_resident,16,8,82,5844702,1.11476237,175.735840761,5.59505277725,5.59505277725,true,1920,9501,75
l2_mma,shared_resident,16,16,82,4474375,1.096885957,203.794349412,4.23775631533,4.23775631533,true,1890,9501,76
l2_mma,shared_resident,32,1,82,6627406,1.116852513,30.8850066267,6.93745735048,6.93745735048,true,1920,9501,67
l2_mma,shared_resident,32,2,82,6074456,1.024080878,63.7785775073,7.81508392818,7.81508392818,true,1920,9501,68
l2_mma,shared_resident,32,4,82,6468300,1.051997311,113.244651826,6.51574019586,6.51574019586,true,1920,9501,71
l2_mma,shared_resident,32,8,82,6166644,1.104458591,179.567569535,5.41857693605,5.41857693605,true,1920,9501,76
l2_mma,shared_resident,32,16,82,3581621,1.102843721,176.342092225,4.58091868503,4.58091868503,true,1905,9501,71
l2_mma,shared_resident,64,1,82,6685534,1.104217506,32.7965565874,7.3027822342,7.3027822342,true,1920,9501,67
l2_mma,shared_resident,64,2,82,5581659,0.930575212,57.1747686943,7.62442899017,7.62442899017,true,1920,9501,67
l2_mma,shared_resident,64,4,82,6536108,1.083967039,102.287558569,5.82424728392,5.82424728392,true,1920,9501,70
l2_mma,shared_resident,64,8,82,4013903,1.114638207,142.50691043,6.60655824967,6.60655824967,true,1920,9501,75
l2_mma,shared_resident,64,16,82,3134741,1.092457265,183.337451804,5.44158914161,5.44158914161,true,1905,9501,77
dram_mma,dram_mixed_streaming,128,1,82,1932388,1.091203625,56.0374011896,43.1697822622,43.1697822622,true,1920,9501,67
dram_mma,dram_mixed_streaming,128,2,82,1915332,1.130102361,92.4688014208,35.934977069,35.934977069,true,1920,9501,69
dram_mma,dram_mixed_streaming,128,4,82,2219083,1.155577889,137.620025714,23.0804515368,23.0804515368,true,1920,9501,72
dram_mma,dram_mixed_streaming,128,8,82,2037568,1.084956914,181.936136024,16.6154869039,16.6154869039,true,1905,9501,75
dram_mma,dram_mixed_streaming,128,16,82,1667820,1.187905213,228.232966076,12.7322576428,12.7322576428,true,1905,9501,74
dram_mma,dram_mixed_streaming,256,1,82,1836435,1.049911709,67.471945915,54.6945279307,54.6945279307,true,1920,9501,68
dram_mma,dram_mixed_streaming,256,2,82,1939073,1.130724908,115.64278781,44.3905577511,44.3905577511,true,1920,9501,70
dram_mma,dram_mixed_streaming,256,4,82,1788579,1.097366364,172.380038094,35.8686521788,35.8686521788,true,1920,9501,72
dram_mma,dram_mixed_streaming,256,8,82,1401632,1.131995543,230.438924011,30.5934215961,30.5934215961,true,1905,9501,74
dram_mma,dram_mixed_streaming,256,16,82,681908,1.088836403,213.604461268,29.1447782143,29.1447782143,true,1905,9501,74
dram_mma,dram_mixed_streaming,512,1,82,1909941,1.116895144,49.3761733757,38.4851941349,38.4851941349,true,1920,9501,69
dram_mma,dram_mixed_streaming,512,2,82,1897588,1.139232538,98.8200653347,38.762289403,38.762289403,true,1920,9501,70
dram_mma,dram_mixed_streaming,512,4,82,1718763,1.06787854,173.939131618,37.6632258211,37.6632258211,true,1920,9501,73
dram_mma,dram_mixed_streaming,512,8,82,1350937,1.104181416,223.830226869,30.8311593163,30.8311593163,true,1905,9501,75
dram_mma,dram_mixed_streaming,512,16,82,681560,1.100279776,202.4596515,27.6382545272,27.6382545272,true,1890,9501,75
dram_mma,dram_mixed_streaming,1024,1,82,1627434,0.968841297,46.4140176898,42.4562842695,42.4562842695,true,1920,9501,69
dram_mma,dram_mixed_streaming,1024,2,82,1822277,1.111515634,106.886734044,43.6591847521,43.6591847521,true,1920,9501,71
dram_mma,dram_mixed_streaming,1024,4,82,1716670,1.075915611,179.389370041,38.8907304159,38.8907304159,true,1920,9501,73
dram_mma,dram_mixed_streaming,1024,8,82,1363847,1.141481693,205.310159907,28.0124442684,28.0124442684,true,1905,9501,76
dram_mma,dram_mixed_streaming,1024,16,82,676147,1.077641443,227.532033938,31.3096090595,31.3096090595,true,1890,9501,76
dram_mma,dram_mixed_streaming,2048,1,82,1853955,1.071611579,70.550667449,56.6497688599,56.6497688599,true,1920,9501,69
dram_mma,dram_mixed_streaming,2048,2,82,1856370,1.095701511,94.7470394687,37.9898269741,37.9898269741,true,1920,9501,70
dram_mma,dram_mixed_streaming,2048,4,82,1752944,1.086282164,184.365188863,39.1423677627,39.1423677627,true,1920,9501,73
dram_mma,dram_mixed_streaming,2048,8,82,1331664,1.098906173,206.085639751,28.7977984941,28.7977984941,true,1890,9501,75
dram_mma,dram_mixed_streaming,2048,16,82,686237,1.10272596,224.554158312,30.4455057498,30.4455057498,true,1875,9501,76
dram_mma,dram_mixed_streaming,4096,1,82,1908347,1.169784678,74.2851428786,57.9483161011,57.9483161011,true,1920,9501,69
dram_mma,dram_mixed_streaming,4096,2,82,1879779,1.120165574,96.1136695009,38.0578783123,38.0578783123,true,1920,9501,71
dram_mma,dram_mixed_streaming,4096,4,82,1745674,1.089780265,161.052659751,34.335309821,34.335309821,true,1920,9501,74
dram_mma,dram_mixed_streaming,4096,8,82,1315161,1.083953525,236.470023501,33.4582629344,33.4582629344,true,1905,9501,76
