mode,W_SM_KiB,blocks_per_SM,active_SM,load_repeat,component,accepted,reason,net_E_J,elapsed_s,ncu_l1_hit_rate_pct,ncu_l2_hit_rate_pct,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,expected_shared_bytes,ncu_shared_accesses,ncu_stall_long_scoreboard_pct,ncu_stall_short_scoreboard_pct,ncu_stall_wait_pct
l2_cg_load_only,16,16,82,16,reject,false,missing_ncu_join,1021.27922166,5.07396677,,,0,0,0,0,,,,
global_l1_load_only,64,16,82,1,reject,false,missing_ncu_join,26.0070594363,0.226478431,,,0,0,0,0,,,,
shared_load_only,64,16,82,1,shared_l1_path,true,accepted_expected_byte_denominator,33.0203501379,0.184092112,26.5679,31.3253,0,1725940000,1356605000,671744000000,10897150000,0.001878,88.7903,180.41
l2_cg_load_only,64,16,82,1,l2_hit_path,true,accepted,48.0911866154,0.283022123,2.6e-05,99.8384,671745000000,673445000000,1649240000,0,,649.241,48.0744,358.509
global_l1_load_only,64,16,82,2,reject,false,missing_ncu_join,68.9289845849,0.419621036,,,0,0,0,0,,,,
shared_load_only,64,16,82,2,shared_l1_path,true,accepted_expected_byte_denominator,46.7651944358,0.337746532,27.7134,53.9369,0,1067462500,803093750,1343488000000,21880687500,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,2,l2_hit_path,true,accepted,122.160754408,0.56597176,2e-06,99.9406,1.3434875e+12,1.34495e+12,1307243750,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,4,reject,false,missing_ncu_join,144.996006934,0.834827346,,,0,0,0,0,,,,
shared_load_only,64,16,82,4,shared_l1_path,true,accepted_expected_byte_denominator,108.416277473,0.647930566,27.7134,53.9369,0,2134925000,1606187500,2686976000000,43761375000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,4,l2_hit_path,true,accepted,237.643537338,1.134248253,2e-06,99.9406,2.686975e+12,2.6899e+12,2614487500,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,8,reject,false,missing_ncu_join,304.014300167,1.645171881,,,0,0,0,0,,,,
shared_load_only,64,16,82,8,shared_l1_path,true,accepted_expected_byte_denominator,248.286597985,1.253356611,27.7134,53.9369,0,4269850000,3212375000,5373952000000,87522750000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,8,l2_hit_path,true,accepted,499.020033455,2.273981477,2e-06,99.9406,5.37395e+12,5.3798e+12,5228975000,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,16,reject,false,missing_ncu_join,597.818373784,3.247687762,,,0,0,0,0,,,,
shared_load_only,64,16,82,16,shared_l1_path,true,accepted_expected_byte_denominator,493.526965408,2.469057806,27.7134,53.9369,0,8539700000,6424750000,10747904000000,175045500000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,16,l2_hit_path,true,accepted,992.737008431,4.573148039,2e-06,99.9406,1.07479e+13,1.07596e+13,10457950000,0,,988.773,56.9232,305.041
dram_cg_load_only,8192,16,82,1,dram_streaming_path,true,accepted,176.222588031,0.787957792,2.5e-05,0.378531,671745000000,676180000000,675515000000,0,,1656.51,68.9641,275.329
dram_cg_load_only,8192,16,82,2,dram_streaming_path,true,accepted,351.18034514,1.572988687,2e-06,0.155437,1.3434875e+12,1.34736875e+12,1.3466375e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,4,dram_streaming_path,true,accepted,685.842369929,3.069782058,2e-06,0.155437,2.686975e+12,2.6947375e+12,2.693275e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,8,dram_streaming_path,true,accepted,1371.97964146,6.137632196,2e-06,0.155437,5.37395e+12,5.389475e+12,5.38655e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,16,dram_streaming_path,true,accepted,2736.26677635,12.272369638,2e-06,0.155437,1.07479e+13,1.077895e+13,1.07731e+13,0,,1865.97,77.5992,230.468
shared_load_only,16,16,82,1,reject,false,missing_ncu_join,19.0988018358,0.182862528,,,0,0,0,671744000000,,,,
l2_cg_load_only,16,16,82,1,reject,false,missing_ncu_join,52.0286595899,0.320427453,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,2,global_l1_path,true,accepted,57.1220164403,0.347688623,99.9992,55.4988,2.686975e+12,868275000,658400000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,2,reject,false,missing_ncu_join,52.5984006234,0.33484908,,,0,0,0,1343488000000,,,,
l2_cg_load_only,16,16,82,2,reject,false,missing_ncu_join,125.325159364,0.592769833,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,4,global_l1_path,true,accepted,143.787403087,0.681358861,99.9992,55.4988,5.37395e+12,1736550000,1316800000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,4,reject,false,missing_ncu_join,108.433955637,0.639037355,,,0,0,0,2686976000000,,,,
l2_cg_load_only,16,16,82,4,reject,false,missing_ncu_join,241.462111168,1.185794424,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,8,global_l1_path,true,accepted,265.297215945,1.319414324,99.9992,55.4988,1.07479e+13,3473100000,2633600000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,8,reject,false,missing_ncu_join,253.819652971,1.236383495,,,0,0,0,5373952000000,,,,
l2_cg_load_only,16,16,82,8,reject,false,missing_ncu_join,494.809467479,2.371569858,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,16,global_l1_path,true,accepted,522.606506171,2.59199043,99.9992,55.4988,2.14958e+13,6946200000,5267200000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,16,reject,false,missing_ncu_join,493.32696306,2.434652022,,,0,0,0,10747904000000,,,,
l2_cg_load_only,16,16,82,16,reject,false,missing_ncu_join,982.336681667,4.744429992,,,0,0,0,0,,,,
global_l1_load_only,64,16,82,1,reject,false,missing_ncu_join,30.6604905068,0.225160159,,,0,0,0,0,,,,
shared_load_only,64,16,82,1,shared_l1_path,true,accepted_expected_byte_denominator,19.5879403551,0.182284326,26.5679,31.3253,0,1725940000,1356605000,671744000000,10897150000,0.001878,88.7903,180.41
l2_cg_load_only,64,16,82,1,l2_hit_path,true,accepted,53.9339737887,0.276644089,2.6e-05,99.8384,671745000000,673445000000,1649240000,0,,649.241,48.0744,358.509
global_l1_load_only,64,16,82,2,reject,false,missing_ncu_join,65.7065382807,0.413904404,,,0,0,0,0,,,,
l2_cg_load_only,64,16,82,2,l2_hit_path,true,accepted,122.387399678,0.563342362,2e-06,99.9406,1.3434875e+12,1.34495e+12,1307243750,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,4,reject,false,missing_ncu_join,152.020704064,0.824944913,,,0,0,0,0,,,,
shared_load_only,64,16,82,4,shared_l1_path,true,accepted_expected_byte_denominator,110.019235253,0.639040307,27.7134,53.9369,0,2134925000,1606187500,2686976000000,43761375000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,4,l2_hit_path,true,accepted,251.712390548,1.126259387,2e-06,99.9406,2.686975e+12,2.6899e+12,2614487500,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,8,reject,false,missing_ncu_join,284.79243554,1.628880557,,,0,0,0,0,,,,
shared_load_only,64,16,82,8,shared_l1_path,true,accepted_expected_byte_denominator,250.11358075,1.238179281,27.7134,53.9369,0,4269850000,3212375000,5373952000000,87522750000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,8,l2_hit_path,true,accepted,492.378180958,2.270205219,2e-06,99.9406,5.37395e+12,5.3798e+12,5228975000,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,16,reject,false,missing_ncu_join,585.426372253,3.209306957,,,0,0,0,0,,,,
shared_load_only,64,16,82,16,shared_l1_path,true,accepted_expected_byte_denominator,492.591738574,2.441089434,27.7134,53.9369,0,8539700000,6424750000,10747904000000,175045500000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,16,l2_hit_path,true,accepted,987.656386727,4.550236444,2e-06,99.9406,1.07479e+13,1.07596e+13,10457950000,0,,988.773,56.9232,305.041
dram_cg_load_only,8192,16,82,1,dram_streaming_path,true,accepted,143.360774455,0.769362732,2.5e-05,0.378531,671745000000,676180000000,675515000000,0,,1656.51,68.9641,275.329
dram_cg_load_only,8192,16,82,2,dram_streaming_path,true,accepted,319.069821887,1.5365944,2e-06,0.155437,1.3434875e+12,1.34736875e+12,1.3466375e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,4,dram_streaming_path,true,accepted,688.532211318,3.074577182,2e-06,0.155437,2.686975e+12,2.6947375e+12,2.693275e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,8,dram_streaming_path,true,accepted,1376.21059461,6.144240488,2e-06,0.155437,5.37395e+12,5.389475e+12,5.38655e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,16,dram_streaming_path,true,accepted,2729.09691974,12.291685208,2e-06,0.155437,1.07479e+13,1.077895e+13,1.07731e+13,0,,1865.97,77.5992,230.468
global_l1_load_only,16,16,82,1,global_l1_path,true,accepted,19.6249352161,0.194026669,99.9976,57.2335,1.34349e+12,943310000,785255000,0,,10.7002,39.7449,201.836
l2_cg_load_only,16,16,82,1,reject,false,missing_ncu_join,45.6898840302,0.317530029,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,2,global_l1_path,true,accepted,44.0494697654,0.350179212,99.9992,55.4988,2.686975e+12,868275000,658400000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,2,reject,false,missing_ncu_join,63.4725150029,0.33587419,,,0,0,0,1343488000000,,,,
l2_cg_load_only,16,16,82,2,reject,false,missing_ncu_join,121.766920261,0.629360888,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,4,global_l1_path,true,accepted,138.064734745,0.68496884,99.9992,55.4988,5.37395e+12,1736550000,1316800000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,4,reject,false,missing_ncu_join,130.652674395,0.640927975,,,0,0,0,2686976000000,,,,
l2_cg_load_only,16,16,82,4,reject,false,missing_ncu_join,246.954049768,1.265472179,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,8,global_l1_path,true,accepted,270.944456611,1.323252135,99.9992,55.4988,1.07479e+13,3473100000,2633600000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,8,reject,false,missing_ncu_join,252.435025241,1.240803377,,,0,0,0,5373952000000,,,,
l2_cg_load_only,16,16,82,8,reject,false,missing_ncu_join,502.775563868,2.531111092,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,16,global_l1_path,true,accepted,507.234842774,2.599989119,99.9992,55.4988,2.14958e+13,6946200000,5267200000,0,,19.2038,56.5925,212.32
shared_load_only,16,16,82,16,reject,false,missing_ncu_join,488.095367115,2.44187726,,,0,0,0,10747904000000,,,,
l2_cg_load_only,16,16,82,16,reject,false,missing_ncu_join,980.967050971,4.738482858,,,0,0,0,0,,,,
global_l1_load_only,64,16,82,1,reject,false,missing_ncu_join,35.4974392554,0.225102739,,,0,0,0,0,,,,
shared_load_only,64,16,82,1,shared_l1_path,true,accepted_expected_byte_denominator,34.6983960523,0.18304795,26.5679,31.3253,0,1725940000,1356605000,671744000000,10897150000,0.001878,88.7903,180.41
l2_cg_load_only,64,16,82,1,l2_hit_path,true,accepted,32.1870334495,0.280761878,2.6e-05,99.8384,671745000000,673445000000,1649240000,0,,649.241,48.0744,358.509
global_l1_load_only,64,16,82,2,reject,false,missing_ncu_join,57.439065177,0.417851129,,,0,0,0,0,,,,
shared_load_only,64,16,82,2,shared_l1_path,true,accepted_expected_byte_denominator,42.2111991686,0.333559531,27.7134,53.9369,0,1067462500,803093750,1343488000000,21880687500,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,2,l2_hit_path,true,accepted,119.037442607,0.56211197,2e-06,99.9406,1.3434875e+12,1.34495e+12,1307243750,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,4,reject,false,missing_ncu_join,152.240385919,0.828075628,,,0,0,0,0,,,,
shared_load_only,64,16,82,4,shared_l1_path,true,accepted_expected_byte_denominator,133.287091563,0.639258013,27.7134,53.9369,0,2134925000,1606187500,2686976000000,43761375000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,4,l2_hit_path,true,accepted,231.09620463,1.136942007,2e-06,99.9406,2.686975e+12,2.6899e+12,2614487500,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,8,reject,false,missing_ncu_join,294.524310053,1.625358777,,,0,0,0,0,,,,
shared_load_only,64,16,82,8,shared_l1_path,true,accepted_expected_byte_denominator,251.136363593,1.239304967,27.7134,53.9369,0,4269850000,3212375000,5373952000000,87522750000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,8,l2_hit_path,true,accepted,470.535714722,2.265331021,2e-06,99.9406,5.37395e+12,5.3798e+12,5228975000,0,,988.773,56.9232,305.041
global_l1_load_only,64,16,82,16,reject,false,missing_ncu_join,574.092128179,3.207269349,,,0,0,0,0,,,,
shared_load_only,64,16,82,16,shared_l1_path,true,accepted_expected_byte_denominator,491.588307732,2.443487974,27.7134,53.9369,0,8539700000,6424750000,10747904000000,175045500000,0.000145,95.2836,193.757
l2_cg_load_only,64,16,82,16,l2_hit_path,true,accepted,974.605689502,4.551894452,2e-06,99.9406,1.07479e+13,1.07596e+13,10457950000,0,,988.773,56.9232,305.041
dram_cg_load_only,8192,16,82,1,dram_streaming_path,true,accepted,161.533365973,0.768800641,2.5e-05,0.378531,671745000000,676180000000,675515000000,0,,1656.51,68.9641,275.329
dram_cg_load_only,8192,16,82,2,dram_streaming_path,true,accepted,343.137619522,1.537356333,2e-06,0.155437,1.3434875e+12,1.34736875e+12,1.3466375e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,4,dram_streaming_path,true,accepted,649.193262313,3.073343684,2e-06,0.155437,2.686975e+12,2.6947375e+12,2.693275e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,8,dram_streaming_path,true,accepted,1352.9141673,6.142473844,2e-06,0.155437,5.37395e+12,5.389475e+12,5.38655e+12,0,,1865.97,77.5992,230.468
dram_cg_load_only,8192,16,82,16,dram_streaming_path,true,accepted,2673.12635694,12.285074639,2e-06,0.155437,1.07479e+13,1.077895e+13,1.07731e+13,0,,1865.97,77.5992,230.468
global_l1_load_only,16,16,82,1,global_l1_path,true,accepted,23.7650738732,0.194249647,99.9976,57.2335,1.34349e+12,943310000,785255000,0,,10.7002,39.7449,201.836
shared_load_only,16,16,82,1,reject,false,missing_ncu_join,22.2400876213,0.183300466,,,0,0,0,671744000000,,,,
