run_id,gpu_id,n_gpu_active,mode,W_SM_KiB,blocks_per_SM,threads_per_block,active_SM,ITER,sweeps,elapsed_s,E_before_mJ,E_after_mJ,delta_E_J,idle_baseline_J,net_E_J,N_MMA,FLOP,input_bits,pJ_per_FLOP,pJ_per_input_bit,ncu_tensor_inst,ncu_shared_bytes,ncu_l2_bytes,ncu_dram_bytes,ncu_spill_bytes,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C,notes
empty_1782903080075_r0,0,1,empty,1024,2,32,82,957657948,1870426,1.087235258,24755311907,24755508724,196.817,152.987472182,43.8295278184,0,0,0,0,0,0,0,0,0,0,true,1950,9501,62,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=146504;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=182673;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=164;smid_max_blocks_on_sm=2;
empty_1782903082506_r0,0,1,empty,1024,4,32,82,965351912,3770906,1.100971712,24755699294,24755925851,226.557,160.180032366,66.376967634,0,0,0,0,0,0,0,0,0,0,true,1950,9501,64,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=145493;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=207910;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=328;smid_max_blocks_on_sm=4;
empty_1782903084907_r0,0,1,empty,1024,8,32,82,816877813,6381858,0.987476363,24756134344,24756383508,249.164,143.490417078,105.673582922,0,0,0,0,0,0,0,0,0,0,true,1935,9501,68,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=148043;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=241400;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;
empty_1782903087342_r0,0,1,empty,1024,16,32,82,665310423,10395476,1.0870269,24756601482,24756908985,307.503,152.083715098,155.419284902,0,0,0,0,0,0,0,0,0,0,true,1935,9501,70,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=151934;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=295134;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
empty_1782903089765_r0,0,1,empty,2048,1,32,82,964523974,470959,1.096011414,24757113106,24757299570,186.464,153.17856565,33.2854343503,0,0,0,0,0,0,0,0,0,0,true,1935,9501,62,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=142621;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=171076;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=82;smid_max_blocks_on_sm=1;
empty_1782903092221_r0,0,1,empty,2048,2,32,82,963265960,940690,1.098924258,24757481892,24757679843,197.951,151.90126761,46.0497323905,0,0,0,0,0,0,0,0,0,0,true,1935,9501,63,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=142409;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=183278;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=164;smid_max_blocks_on_sm=2;
empty_1782903094655_r0,0,1,empty,2048,4,32,82,977768335,1909704,1.11088637,24757866670,24758094893,228.223,157.37653178,70.8464682195,0,0,0,0,0,0,0,0,0,0,true,1935,9501,65,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=144115;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=210515;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=328;smid_max_blocks_on_sm=4;
empty_1782903096999_r0,0,1,empty,2048,8,32,82,815450865,3185355,0.985764477,24758304175,24758538222,234.047,137.719704192,96.3272958084,0,0,0,0,0,0,0,0,0,0,true,1935,9501,68,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=146359;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=240309;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;
empty_1782903099429_r0,0,1,empty,2048,16,32,82,654810878,5115710,1.078492651,24758756624,24759081417,324.793,154.607706306,170.185293694,0,0,0,0,0,0,0,0,0,0,true,1935,9501,70,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=152610;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=297822;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;
empty_1782903101852_r0,0,1,empty,4096,1,32,82,963428704,235213,1.095827734,24759264564,24759449015,184.451,151.230464339,33.2205356612,0,0,0,0,0,0,0,0,0,0,true,1935,9501,63,regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=143024;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=171307;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=82;smid_max_blocks_on_sm=1;
