run_id,pair_id,role,repeat,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ,changed_from_previous,in_fit_window
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,0,140377.043924,140377.047591,140377.045758,0.003667003999,-0.00184030199307,5308938446,false,false
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,1,140377.547868,140377.549284,140377.548576,0.00141610199353,0.500978230993,5309046710,true,false
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,2,140378.0494,140378.050802,140378.050101,0.00140229798853,1.00250323699,5309164183,true,false
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,3,140378.550927,140378.552316,140378.551621,0.00138899800368,1.50402316,5309281221,true,true
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,4,140379.052429,140379.053824,140379.053127,0.00139479897916,2.0055288435,5309398440,true,true
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,5,140379.553948,140379.55537,140379.554659,0.00142129798769,2.50706108398,5309515314,true,true
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,6,140380.055503,140380.057119,140380.056311,0.00161549801123,3.00871298398,5309631729,true,true
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,7,140380.557241,140380.558629,140380.557935,0.00138769799378,3.51033729099,5309747791,true,true
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,8,140381.058753,140381.060216,140381.059484,0.00146339798812,4.011886558,5309887487,true,true
softmax_1784951653716_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,full,0,1,9,140381.560357,140381.561645,140381.561001,0.00128789799055,4.51340273299,5310007188,true,true
