session_id,session_index,session_order,stage,policy,policy_position,cell_id,bracket_index,orientation,bracket_schedule,interpolation_weight,treatment_power_at_contrast_W,control_power_at_contrast_W,delta_power_W,bracket_delta_power_W,treatment_result_rate_Gelement_per_s,normalization_source,atc_delta_pJ_per_logical_output_element,effect_pJ_per_logical_output,same_iter_gross_board_energy_contrast_pJ_per_logical_output,treatment_elapsed_at_contrast_s,control_elapsed_at_contrast_s,treatment_over_control_elapsed_ratio,treatment_energy_at_contrast_J,control_energy_at_contrast_J,diagnostic_uses_idle,logical_output_elements_per_role,minimum_trace_fit_points,minimum_trace_r2,max_query_latency_s,idle_power_W_diagnostic_mean,temperature_min_C,temperature_max_C,temperature_span_C,sm_clock_min_mhz,sm_clock_max_mhz,sm_clock_span_fraction,primary_uses_idle,quality_status,session_effect_pJ_per_logical_output,session_same_iter_gross_board_energy_contrast_pJ_per_logical_output
20260728_operand_rate_v2_final_normalization_session01_ABC,1,ABC,normalization,fp16x2,2,20260728_operand_rate_v2_final_normalization_session01_ABC_normalization_fp16x2,0,forward,C-T-C,0.4940725590770356,219.9409043879196,223.14913604600656,-3.2082316580869588,-3.2082316580869588,52.8362755785339,middle_treatment_result_rate,-60.72024613692464,-60.72024613692464,-14.317017581436176,13.4198681640625,13.272438559444177,1.0111079515612764,2951.5779407705563,2961.729505877649,false,709055852544,48,0.9998754269994563,0.005581061006523669,129.7258511364715,59.0,66.0,7.0,1935.0,1950.0,0.007751937984496124,false,pass,-63.89648884780998,-10.636174681556255
20260728_operand_rate_v2_final_normalization_session01_ABC,1,ABC,normalization,fp16x2,2,20260728_operand_rate_v2_final_normalization_session01_ABC_normalization_fp16x2,1,reverse,T-C-T,0.5056732480102385,225.02900869829043,228.5662081040204,-3.5371994057299787,-3.5371994057299787,52.736772806614816,interpolated_outer_treatment_result_rate,-67.07273155869532,-67.07273155869532,-6.9553317816763345,13.445462988713944,13.25891015625,1.0140699974783378,3025.6070992997643,3030.538818005947,false,709055852544,49,0.9997273452953261,0.005563352984609082,132.05635628787547,60.0,66.0,6.0,1935.0,1935.0,0.0,false,pass,-63.89648884780998,-10.636174681556255
20260728_operand_rate_v2_final_normalization_session01_ABC,1,ABC,normalization,fp32,0,20260728_operand_rate_v2_final_normalization_session01_ABC_normalization_fp32,0,forward,C-T-C,0.5057758303721388,236.99226070321612,229.8512945436743,7.140966159541819,7.140966159541819,41.26667990780764,middle_treatment_result_rate,173.04435868102757,173.04435868102757,188.11241873292585,13.4222587890625,13.385953666813245,1.0027121804805932,3180.971454163534,3076.7774795877544,false,553892057088,48,0.9998487533220781,0.005380343995057046,134.24849500133845,61.0,67.0,6.0,1935.0,1935.0,0.0,false,pass,146.36830778328545,155.46042427330627
20260728_operand_rate_v2_final_normalization_session01_ABC,1,ABC,normalization,fp32,0,20260728_operand_rate_v2_final_normalization_session01_ABC_normalization_fp32,1,reverse,T-C-T,0.4949011975923404,234.8124817294637,229.86310645687638,4.949375272587332,4.949375272587332,41.35083923866698,interpolated_outer_treatment_result_rate,119.69225688554332,119.69225688554332,122.80842981368671,13.394941134888436,13.3874345703125,1.0005607171812128,3145.2999116374594,3077.2772978202092,false,553892057088,48,0.9997173031343881,0.005646524019539356,131.5140117150501,61.0,67.0,6.0,1935.0,1935.0,0.0,false,pass,146.36830778328545,155.46042427330627
20260728_operand_rate_v2_final_normalization_session02_BCA,2,BCA,normalization,fp16_scalar,0,20260728_operand_rate_v2_final_normalization_session02_BCA_normalization_fp16_scalar,0,forward,C-T-C,0.4988256758474145,206.2874662508978,204.7778292186842,1.5096370322136181,1.5096370322136181,34.957344493935835,middle_treatment_result_rate,43.18511757881094,43.18511757881094,47.21243052487075,13.38711328125,13.377910362295205,1.0006879190176616,2761.593679202805,2739.4993036600035,false,467977930752,49,0.9999109009194058,0.005854544986505061,134.8608648176116,59.0,65.0,6.0,1935.0,1935.0,0.0,false,pass,40.824027752408014,46.2165252161799
20260728_operand_rate_v2_final_normalization_session02_BCA,2,BCA,normalization,fp16_scalar,0,20260728_operand_rate_v2_final_normalization_session02_BCA_normalization_fp16_scalar,1,reverse,T-C-T,0.5000564121025987,206.49351723874486,205.14878835744395,1.3447288813009095,1.3447288813009095,34.96167879551728,interpolated_outer_treatment_result_rate,38.46293792600509,38.46293792600509,45.220619907489066,13.385453649254984,13.3700390625,1.0011529200986569,2764.0095660952,2742.8473139635707,false,467977930752,49,0.9999079851346477,0.01142447700840421,130.37398575675823,59.0,64.0,5.0,1935.0,1950.0,0.007751937984496124,false,pass,40.824027752408014,46.2165252161799
20260728_operand_rate_v2_final_normalization_session02_BCA,2,BCA,normalization,fp16x2,1,20260728_operand_rate_v2_final_normalization_session02_BCA_normalization_fp16x2,0,forward,C-T-C,0.5020559691643631,223.17021102226897,222.75440174272083,0.4158092795481423,0.4158092795481423,52.872558654210565,middle_treatment_result_rate,7.864368400772086,7.864368400772086,40.17251801001571,13.430708984375,13.327682472969965,1.007730264553795,2997.3341582216526,2968.8070124895694,false,710115948544,49,0.9999183948120917,0.005950988008407876,130.76962640016305,59.0,65.0,6.0,1935.0,1950.0,0.007751937984496124,false,pass,-37.29838210500773,-4.4917490002896585
20260728_operand_rate_v2_final_normalization_session02_BCA,2,BCA,normalization,fp16x2,1,20260728_operand_rate_v2_final_normalization_session02_BCA_normalization_fp16x2,1,reverse,T-C-T,0.5040722476687879,224.03628745184488,228.39524606218657,-4.358958610341688,-4.358958610341688,52.860765700560485,interpolated_outer_treatment_result_rate,-82.46113261078754,-82.46113261078754,-49.156016010595025,13.433706501549656,13.33015625,1.0077681198635355,3009.6378458301365,3044.544316766144,false,710115948544,48,0.9998966641168567,0.005463013978442177,130.43135480002823,60.0,66.0,6.0,1935.0,1935.0,0.0,false,pass,-37.29838210500773,-4.4917490002896585
20260728_operand_rate_v2_final_normalization_session02_BCA,2,BCA,normalization,fp32,2,20260728_operand_rate_v2_final_normalization_session02_BCA_normalization_fp32,0,forward,C-T-C,0.4950926119423775,229.65310698331575,232.99543964891282,-3.3423326655970698,-3.3423326655970698,41.37981705579588,middle_treatment_result_rate,-80.77205032323661,-80.77205032323661,-82.57084714727311,13.390919921875,13.39519680238682,0.9996807153657452,3075.2663654233734,3121.0200126740624,false,554113816576,48,0.9998992841605211,0.005564102000789717,132.7166818488769,60.0,67.0,7.0,1935.0,1935.0,0.0,false,pass,-36.900049450727,-39.13848923048348
20260728_operand_rate_v2_final_normalization_session02_BCA,2,BCA,normalization,fp32,2,20260728_operand_rate_v2_final_normalization_session02_BCA_normalization_fp32,1,reverse,T-C-T,0.500689268027938,228.9807502866582,228.69223380958096,0.2885164770772519,0.2885164770772519,41.382456592545104,interpolated_outer_treatment_result_rate,6.971951421782609,6.971951421782609,4.293868686306156,13.390065839762695,13.39655078125,0.9995159245395926,3066.0664154731944,3063.687123507549,false,554113816576,49,0.9999076455067831,0.005394077015807852,133.48360507081557,61.0,67.0,6.0,1935.0,1935.0,0.0,false,pass,-36.900049450727,-39.13848923048348
