input_file,backup_file,row_index,run_id,elapsed_s,measurement_start_epoch_ms,measurement_end_epoch_ms_original,measurement_end_epoch_ms_repaired,original_interval_mismatch_ms,energy_fields_modified
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,39,reg_mma_1783989571926_r0,10.191802206,1783989561728,1783989571921,1783989571920,1.197794,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,40,reg_mma_1783989590107_r0,10.175622966,1783989582168,1783989590100,1783989592344,-2243.622966,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,41,reg_operand_only_1783989607517_r0,7.147070558,1783989600365,1783989607512,1783989607512,-0.070558,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,42,reg_operand_only_1783989618067_r0,2.555845975,1783989617758,1783989618062,1783989620314,-2251.845975,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,43,reg_mma_1783989638288_r0,9.969560757,1783989628313,1783989638282,1783989638283,-0.560757,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,44,reg_mma_1783989656479_r0,10.126778182,1783989646345,1783989656472,1783989656472,0.221818,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,45,reg_operand_only_1783989669122_r0,2.381478105,1783989666732,1783989669113,1783989669113,-0.478105,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,46,reg_operand_only_1783989679474_r0,2.322842483,1783989677146,1783989679469,1783989679469,0.157517,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,47,reg_mma_1783989699824_r0,10.093660781,1783989689725,1783989699818,1783989699819,-0.660781,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,48,reg_mma_1783989717986_r0,10.178678975,1783989707802,1783989717981,1783989717981,0.321025,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,49,reg_operand_only_1783989732129_r0,3.884305916,1783989728239,1783989732124,1783989732123,0.694084,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,50,reg_operand_only_1783989741785_r0,1.655090902,1783989740120,1783989741776,1783989741775,0.909098,false
results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,results/archive/rtx3090_component_finalplan_20260714_rerun1_wallclock_original_20260714_114619/results/raw/rtx3090_component_finalplan_20260714_rerun1_tensor.csv,51,reg_mma_1783989762275_r0,10.201178996,1783989752068,1783989762270,1783989762269,0.821004,false
