profile,coordinate_id,policy,session_id,session_index,session_order,run_id,softmax_cols,grid_blocks,runtime_sm_count,requested_sm_coverage,grid_sm_coverage,occupancy,static_capacity,logical_elements,net_pj,gross_pj,elapsed_s,preheat_s,trace_r2,trace_updates,temp_before_c,temp_after_c,validation_abs_error,validation_row_sum_error
rtx3090,s512_q50,fp16x2_all,20260728_range_v2_contiguous_s512_q50_session03_CAB,3,CAB,whole_precision_1785237526280_fp16x2_all_b0_p0,512,41,82,0.5,0.5,6,492,495859799040,1587.41978085,5277.47285612,13.6091777344,5.04179644775,0.999859478059,27,57,60,9.93376094206e-06,0.000346183776855
rtx3090,s1024_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_s1024_q25_session01_ABC,1,ABC,whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,1024,21,82,0.25,0.256097560976,6,492,273344784384,3068.38265577,9738.89609686,13.7124023438,5.04355755615,0.999936154127,28,58,59,4.06487122174e-10,5.7782017393e-08
rtx3090,s1024_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_s1024_q25_session02_BCA,2,BCA,whole_precision_1785237354303_fp32_io_fp32_all_b0_p2,1024,21,82,0.25,0.256097560976,6,492,272599111680,2989.92629394,9665.39665163,13.7004130859,5.03469299316,0.999997289193,28,57,61,4.06487122174e-10,5.7782017393e-08
rtx3090,s1024_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_s1024_q25_session03_CAB,3,CAB,whole_precision_1785237490918_fp32_io_fp32_all_b0_p1,1024,21,82,0.25,0.256097560976,6,492,272405446656,2932.24994896,9532.81167252,13.6649082031,5.04162084961,0.999971219056,28,58,58,4.06487122174e-10,5.7782017393e-08
rtx3090,s1024_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s1024_q50_session01_ABC,1,ABC,whole_precision_1785237071707_fp32_io_fp32_all_b0_p0,1024,41,82,0.5,0.5,6,492,521412898816,2378.07312426,5883.61476348,13.4765605469,5.04491418457,0.999762826854,27,55,62,4.06487122174e-10,5.7782017393e-08
rtx3090,s1024_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s1024_q50_session02_BCA,2,BCA,whole_precision_1785237253802_fp32_io_fp32_all_b0_p2,1024,41,82,0.5,0.5,6,492,529661075456,2596.77611259,6015.20916796,13.745171875,5.03435571289,0.999995219766,28,58,60,4.06487122174e-10,5.7782017393e-08
rtx3090,s1024_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s1024_q50_session03_CAB,3,CAB,whole_precision_1785237592303_fp32_io_fp32_all_b0_p1,1024,41,82,0.5,0.5,6,492,529866041344,2596.74700455,6072.37690313,13.7859482422,5.02841717529,0.999883709557,28,58,65,4.06487122174e-10,5.7782017393e-08
rtx3090,s2048_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s2048_q50_session01_ABC,1,ABC,whole_precision_1785237728506_fp32_io_fp32_all_b0_p0,2048,41,82,0.5,0.5,6,492,294075920384,4917.3442666,9899.10245971,11.8971621094,4.97690719604,0.999995709742,24,45,52,4.69156085075e-10,8.87075657374e-08
rtx3090,s2048_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s2048_q50_session02_BCA,2,BCA,whole_precision_1785238010183_fp32_io_fp32_all_b0_p2,2048,41,82,0.5,0.5,6,492,328888549376,5031.57201137,10656.2371645,13.5738730469,5.0484197998,0.999856325231,27,61,68,4.69156085075e-10,8.87075657374e-08
rtx3090,s2048_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s2048_q50_session03_CAB,3,CAB,whole_precision_1785238095758_fp32_io_fp32_all_b0_p1,2048,41,82,0.5,0.5,6,492,324784361472,5216.5919423,10683.3376474,13.3967041016,5.0476706543,0.999996581955,27,61,68,4.69156085075e-10,8.87075657374e-08
rtx3090,s4096_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s4096_q25_session01_ABC,1,ABC,whole_precision_1785237828256_fp32_io_fp32_all_b0_p0,4096,21,82,0.25,0.256097560976,4,328,192424845312,6390.40545675,15844.7931604,13.8062519531,5.04378692627,0.999997765985,28,55,62,7.77684035875e-11,1.10841938294e-07
rtx3090,s4096_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s4096_q25_session02_BCA,2,BCA,whole_precision_1785237959801_fp32_io_fp32_all_b0_p2,4096,21,82,0.25,0.256097560976,4,328,192349667328,6456.35630747,15959.9219841,13.8200351563,5.02674133301,0.999997684273,28,57,64,7.77684035875e-11,1.10841938294e-07
rtx3090,s4096_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s4096_q25_session03_CAB,3,CAB,whole_precision_1785238045387_fp32_io_fp32_all_b0_p1,4096,21,82,0.25,0.256097560976,4,328,189515440128,6864.34737433,16458.0362456,13.6147792969,5.04120501709,0.999937095718,27,59,65,7.77684035875e-11,1.10841938294e-07
rtx3090,s4096_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s4096_q50_session01_ABC,1,ABC,whole_precision_1785237122460_fp32_io_fp32_all_b0_p0,4096,41,82,0.5,0.5,4,328,349943021568,5776.78642133,11218.7654197,13.7972763672,5.04644793701,0.999981247817,28,58,65,7.77684035875e-11,1.10841938294e-07
rtx3090,s4096_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s4096_q50_session02_BCA,2,BCA,whole_precision_1785237303723_fp32_io_fp32_all_b0_p2,4096,41,82,0.5,0.5,4,328,343692107776,6179.52200824,11509.511741,13.60503125,5.04598590088,0.999888163569,27,60,71,7.77684035875e-11,1.10841938294e-07
rtx3090,s4096_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s4096_q50_session03_CAB,3,CAB,whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,4096,41,82,0.5,0.5,4,328,349722353664,5979.34494163,11260.5551038,13.7941640625,5.04648278809,0.999996829933,28,59,64,7.77684035875e-11,1.10841938294e-07
rtx3090,s512_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s512_q25_session01_ABC,1,ABC,whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,512,21,82,0.25,0.256097560976,6,492,221945428992,2611.22365807,10638.7360162,13.6185224609,5.04413995361,0.999999676845,28,55,57,1.73997146899e-09,8.26917130325e-08
rtx3090,s512_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s512_q25_session02_BCA,2,BCA,whole_precision_1785237909056_fp32_io_fp32_all_b0_p2,512,21,82,0.25,0.256097560976,6,492,222324264960,2650.13478722,10630.8543159,13.6126884766,5.10789941406,0.999999663475,28,55,56,1.73997146899e-09,8.26917130325e-08
rtx3090,s512_q25,fp32_io_fp32_all,20260728_range_v2_contiguous_followup_s512_q25_session03_CAB,3,CAB,whole_precision_1785238146151_fp32_io_fp32_all_b0_p1,512,21,82,0.25,0.256097560976,6,492,213527666688,2504.18208261,10750.5661019,13.2201806641,5.03184124756,0.999773761865,27,58,58,1.73997146899e-09,8.26917130325e-08
rtx3090,s512_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s512_q50_session01_ABC,1,ABC,whole_precision_1785237022162_fp32_io_fp32_all_b0_p0,512,41,82,0.5,0.5,6,492,388613686272,2089.3303878,6040.6118019,12.2343388672,4.95813265991,0.999981907077,25,51,57,1.73997146899e-09,8.26917130325e-08
rtx3090,s512_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s512_q50_session02_BCA,2,BCA,whole_precision_1785237404726_fp32_io_fp32_all_b0_p2,512,41,82,0.5,0.5,6,492,434774968320,2123.78325504,6275.46992594,13.7179824219,5.04350689697,0.999932401143,28,56,60,1.73997146899e-09,8.26917130325e-08
rtx3090,s512_q50,fp32_io_fp32_all,20260728_range_v2_contiguous_s512_q50_session03_CAB,3,CAB,whole_precision_1785237541380_fp32_io_fp32_all_b0_p1,512,41,82,0.5,0.5,6,492,434802509824,1990.20693639,6153.60377562,13.7164765625,5.04179644775,0.999993658559,28,57,58,1.73997146899e-09,8.26917130325e-08
