candidate_id,stage,global_session_index,session_id,session_index_within_candidate,session_order,sequence_index,policy,run_id,iters,logical_output_elements,elapsed_s,net_E_J,net_pJ_per_logical_output_element,gross_pJ_per_logical_output_element,validation_max_abs_error,validation_max_row_sum_error,preheat_actual_s,energy_trace_sample_count,energy_trace_update_count,energy_trace_fit_point_count,energy_trace_r2,temperature_start_C,temperature_end_C,raw_csv,trace_csv
reduction_scalar,reduction,6,20260727_abba_confirm_v1_reduction_scalar_session03_AB,3,AB,0,fp16_io_fp32_all,whole_precision_1785126447823_fp16_io_fp32_all_b0_p0,11132527,182395322368,13.6610195313,422.721004237,2317.60880021,11756.8126984,3.54528288365e-06,0.000136375427246,19.9756486816,31,29,24,0.999947338391,54,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session03_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session03_AB_energy_trace.csv
reduction_scalar,reduction,6,20260727_abba_confirm_v1_reduction_scalar_session03_AB,3,AB,1,reduction_fp16_scalar,whole_precision_1785126463616_reduction_fp16_scalar_b0_p1,6737933,110394294272,13.6552900391,469.368273515,4251.74395661,18814.7243252,8.57576857502e-06,0.000624656677246,19.9756486816,31,29,24,0.999901506332,54,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session03_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session03_AB_energy_trace.csv
exp_packed,exp,7,20260727_abba_confirm_v1_exp_packed_session04_AB,4,AB,0,fp16_io_fp32_all,whole_precision_1785126497513_fp16_io_fp32_all_b0_p0,11132968,182402547712,13.6603242188,344.595766379,1889.20478744,11640.9599208,3.54528288365e-06,0.000136375427246,19.9643342285,31,29,24,0.999902757614,54,55,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session04_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session04_AB_energy_trace.csv
exp_packed,exp,7,20260727_abba_confirm_v1_exp_packed_session04_AB,4,AB,1,exp_fp16x2,whole_precision_1785126513156_exp_fp16x2_b0_p1,10973137,179783876608,13.6676513672,370.321355838,2059.81405466,11795.837197,7.54756081836e-06,0.000136375427246,19.9643342285,30,28,23,0.99993590743,54,57,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session04_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session04_AB_energy_trace.csv
reduction_scalar,reduction,8,20260727_abba_confirm_v1_reduction_scalar_session04_BA,4,BA,0,reduction_fp16_scalar,whole_precision_1785126548737_reduction_fp16_scalar_b0_p0,6740845,110442004480,13.6620214844,453.76903623,4108.6635322,18761.710216,8.57576857502e-06,0.000624656677246,19.9637720947,31,29,24,0.999911116643,55,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session04_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session04_BA_energy_trace.csv
reduction_scalar,reduction,8,20260727_abba_confirm_v1_reduction_scalar_session04_BA,4,BA,1,fp16_io_fp32_all,whole_precision_1785126562525_fp16_io_fp32_all_b0_p1,11134126,182421520384,13.6613203125,335.947781162,1841.6016951,11663.6873878,3.54528288365e-06,0.000136375427246,19.9637720947,30,28,23,0.99990552054,54,57,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session04_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session04_BA_energy_trace.csv
exp_packed,exp,9,20260727_abba_confirm_v1_exp_packed_session05_AB,5,AB,0,fp16_io_fp32_all,whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,11129249,182341615616,13.6590908203,417.361414516,2288.89830282,11662.5175062,3.54528288365e-06,0.000136375427246,19.9630288086,30,28,23,0.999951492112,55,57,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session05_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session05_AB_energy_trace.csv
exp_packed,exp,9,20260727_abba_confirm_v1_exp_packed_session05_AB,5,AB,1,exp_fp16x2,whole_precision_1785126613655_exp_fp16x2_b0_p1,10973104,179783335936,13.6671777344,319.619191548,1777.80209653,11812.6694348,7.54756081836e-06,0.000136375427246,19.9630288086,31,29,24,0.999904140228,54,57,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session05_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session05_AB_energy_trace.csv
reduction_scalar,reduction,10,20260727_abba_confirm_v1_reduction_scalar_session05_BA,5,BA,0,reduction_fp16_scalar,whole_precision_1785126649383_reduction_fp16_scalar_b0_p0,6740741,110440300544,13.6566230469,301.208703147,2727.34410956,18767.9414921,8.57576857502e-06,0.000624656677246,19.9665769043,30,28,23,0.999714828781,55,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session05_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session05_BA_energy_trace.csv
reduction_scalar,reduction,10,20260727_abba_confirm_v1_reduction_scalar_session05_BA,5,BA,1,fp16_io_fp32_all,whole_precision_1785126663511_fp16_io_fp32_all_b0_p1,11128946,182336651264,13.6552939453,550.190618101,3017.44391096,11807.3718007,3.54528288365e-06,0.000136375427246,19.9665769043,31,29,24,0.99991572045,54,57,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session05_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session05_BA_energy_trace.csv
exp_packed,exp,11,20260727_abba_confirm_v1_exp_packed_session06_BA,6,BA,0,exp_fp16x2,whole_precision_1785126699143_exp_fp16x2_b0_p0,10929219,179064324096,13.6031474609,409.422115113,2286.45274361,11878.1896895,7.54756081836e-06,0.000136375427246,19.8864622803,31,29,24,0.999897323881,55,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session06_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session06_BA_energy_trace.csv
exp_packed,exp,11,20260727_abba_confirm_v1_exp_packed_session06_BA,6,BA,1,fp16_io_fp32_all,whole_precision_1785126713177_fp16_io_fp32_all_b0_p1,11071545,181396193280,13.5799570313,456.308751901,2515.53653718,11769.1797917,3.54528288365e-06,0.000136375427246,19.8864622803,31,29,24,0.999902648654,55,56,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session06_BA_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/exp_packed_session06_BA_energy_trace.csv
reduction_scalar,reduction,12,20260727_abba_confirm_v1_reduction_scalar_session06_AB,6,AB,0,fp16_io_fp32_all,whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,11133923,182418194432,13.6732070312,533.1990862,2922.94903949,11644.4595947,3.54528288365e-06,0.000136375427246,19.9612434082,31,30,24,0.999915861743,55,55,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session06_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session06_AB_energy_trace.csv
reduction_scalar,reduction,12,20260727_abba_confirm_v1_reduction_scalar_session06_AB,6,AB,1,reduction_fp16_scalar,whole_precision_1785126764668_reduction_fp16_scalar_b0_p1,6740771,110440792064,13.6630869141,365.708798716,3311.35617448,18893.5438183,8.57576857502e-06,0.000624656677246,19.9612434082,31,29,24,0.999924654164,55,55,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session06_AB_raw.csv,results/raw/rtx3090_softmax_whole_precision_targeted_confirmation_20260727_abba_confirm_v1/reduction_scalar_session06_AB_energy_trace.csv
