"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.max","","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.min","","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum","","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.avg","byte","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.max","byte","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.min","byte","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum","byte","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit.avg","byte","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit.max","byte","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit.min","byte","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit.sum","byte","0"
