"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld.avg","byte","0"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld.max","byte","nan"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld.min","byte","nan"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld.sum","byte","0"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","54.36"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.54"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_op_read_hit_rate.max_rate","","1"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_op_read_hit_rate.pct","%","46.15"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_op_read_hit_rate.ratio","","0.46"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sectors_srcunit_tex_op_read.avg","sector","0"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sectors_srcunit_tex_op_read.max","sector","0"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sectors_srcunit_tex_op_read.min","sector","0"
"0","2424726","a100_fp16_energy_v2","127.0.0.1","void unnamed>::reg_operand_only_kernel<8>(unsigned long, float *, unsigned long, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sectors_srcunit_tex_op_read.sum","sector","0"
